timestamp,poor_signal,attention,meditation,blink_strength,raw_wave,delta,delta_normalized,theta,theta_normalized,low_alpha,low_alpha_normalized,high_alpha,high_alpha_normalized,low_beta,low_beta_normalized,high_beta,high_beta_normalized,low_gamma,low_gamma_normalized,mid_gamma,mid_gamma_normalized
2026-05-17T16:06:50,80,0,0,,,449443,0.9421,660773,0.97,57630,0.7934,528047,0.9538,195551,0.8819,269930,0.9052,152219,0.8637,867712,0.9897
2026-05-17T16:06:51,80,0,0,,,1778033,1.0,1046294,1.0,253364,0.9006,546084,0.9562,95927,0.8303,159262,0.867,68406,0.8059,235129,0.8952
2026-05-17T16:06:52,80,0,0,,,188095,0.8791,36952,0.7613,65352,0.8025,57506,0.7933,31085,0.7488,36072,0.7595,10422,0.6697,150331,0.8628
2026-05-17T16:06:53,51,0,0,,,443718,0.9412,482288,0.9472,420098,0.9372,306037,0.9143,89208,0.8251,260341,0.9026,88636,0.8246,561267,0.9582
2026-05-17T16:06:54,51,0,0,,,335130,0.9209,368531,0.9277,323205,0.9182,353149,0.9247,246458,0.8986,204393,0.8851,136194,0.8557,93435,0.8284
2026-05-17T16:06:55,80,0,0,,,390635,0.932,149991,0.8627,338431,0.9216,234783,0.8951,94223,0.829,214581,0.8886,194472,0.8815,489871,0.9483
2026-05-17T16:06:56,80,0,0,,,102009,0.8348,246111,0.8985,5789,0.6271,65972,0.8032,47372,0.7793,36420,0.7602,38208,0.7637,160526,0.8676
2026-05-17T16:06:57,80,0,0,,,1079182,1.0,923321,0.9942,212461,0.8879,117857,0.8452,285990,0.9094,294883,0.9116,231729,0.8942,220354,0.8905
2026-05-17T16:06:58,80,0,0,,,1236419,1.0,1009275,1.0,110698,0.8407,211132,0.8874,161363,0.868,195975,0.882,112905,0.8421,433056,0.9394
2026-05-17T16:06:59,80,0,0,,,1257033,1.0,794948,0.9834,186545,0.8785,346694,0.9233,172364,0.8727,158295,0.8666,164451,0.8693,809878,0.9847
2026-05-17T16:07:00,80,0,0,,,387349,0.9314,387448,0.9314,285782,0.9093,141875,0.8587,117608,0.8451,215789,0.889,168264,0.871,629360,0.9665
2026-05-17T16:07:01,80,0,0,,,747066,0.9789,316902,0.9168,180494,0.8761,67087,0.8044,393271,0.9324,329868,0.9197,132334,0.8536,291204,0.9107
2026-05-17T16:07:02,80,0,0,,,500145,0.9498,509783,0.9512,64344,0.8014,455582,0.9431,80401,0.8175,321693,0.9179,98123,0.832,851364,0.9884
2026-05-17T16:07:03,80,0,0,,,624695,0.9659,1363366,1.0,3235,0.585,343982,0.9228,82553,0.8195,457813,0.9434,145417,0.8604,813830,0.9851
2026-05-17T16:07:04,80,0,0,,,946888,0.996,319085,0.9173,94249,0.829,34662,0.7566,150993,0.8632,261147,0.9028,165477,0.8698,407860,0.9351
2026-05-17T16:07:05,51,0,0,,,75406,0.8129,74075,0.8116,70154,0.8077,14912,0.6956,24757,0.7323,24584,0.7318,44874,0.7753,300771,0.913
2026-05-17T16:07:06,51,0,0,,,297443,0.9122,566046,0.9588,243391,0.8977,314604,0.9163,56485,0.792,265710,0.9041,89954,0.8257,396147,0.933
2026-05-17T16:07:07,80,0,0,,,68199,0.8056,41393,0.7695,108743,0.8394,68967,0.8064,32427,0.7518,66796,0.8041,25662,0.7349,77749,0.8151
2026-05-17T16:07:08,80,0,0,,,725633,0.9768,628259,0.9664,59256,0.7955,338151,0.9215,72521,0.8101,186987,0.8786,114290,0.843,1312302,1.0
2026-05-17T16:07:09,80,0,0,,,1201859,1.0,472034,0.9457,58790,0.7949,352554,0.9245,47647,0.7797,375493,0.9291,140453,0.8579,937251,0.9953
2026-05-17T16:07:10,80,0,0,,,1059829,1.0,1317931,1.0,537420,0.9551,80562,0.8177,339799,0.9219,316906,0.9168,99260,0.8328,450464,0.9423
2026-05-17T16:07:11,80,0,0,,,326857,0.9191,504338,0.9505,195980,0.882,217713,0.8896,57644,0.7935,305022,0.9141,153811,0.8645,1113520,1.0
2026-05-17T16:07:12,80,0,0,,,1299603,1.0,777000,0.9817,36882,0.7611,367860,0.9276,174296,0.8735,181347,0.8764,208963,0.8867,1187041,1.0
2026-05-17T16:07:13,80,0,0,,,1110115,1.0,711545,0.9754,339689,0.9218,723510,0.9766,27036,0.7387,266278,0.9042,91392,0.8268,629471,0.9665
2026-05-17T16:07:14,80,0,0,,,454644,0.9429,1135381,1.0,219919,0.8904,315868,0.9166,231209,0.894,262588,0.9032,85586,0.8221,442638,0.941
2026-05-17T16:07:15,80,0,0,,,386519,0.9312,634912,0.9671,302347,0.9134,41681,0.77,198589,0.883,173468,0.8732,122338,0.8479,1391435,1.0
2026-05-17T16:07:16,80,0,0,,,1072647,1.0,757031,0.9799,179400,0.8756,253765,0.9007,64590,0.8017,197930,0.8828,101255,0.8342,498024,0.9495
2026-05-17T16:07:17,51,0,0,,,310032,0.9152,361085,0.9263,142269,0.8589,239418,0.8965,135807,0.8555,389247,0.9317,92616,0.8278,774218,0.9815
2026-05-17T16:07:18,80,0,0,,,665043,0.9705,342830,0.9225,273471,0.9062,297736,0.9123,131954,0.8534,192294,0.8807,84393,0.8211,1180756,1.0
2026-05-17T16:07:19,80,0,0,,,393047,0.9324,1538989,1.0,231891,0.8942,459080,0.9436,199609,0.8834,427811,0.9385,262239,0.9031,571790,0.9595
2026-05-17T16:07:20,80,0,0,,,570080,0.9593,501156,0.95,91034,0.8265,317345,0.9169,58116,0.7941,238335,0.8962,243897,0.8979,656638,0.9696
2026-05-17T16:07:21,80,0,0,,,131500,0.8532,735330,0.9777,84092,0.8208,545997,0.9562,76573,0.814,347583,0.9235,145174,0.8603,454148,0.9429
2026-05-17T16:07:22,80,0,0,,,349086,0.9238,300915,0.9131,92183,0.8274,609512,0.9642,147076,0.8613,196631,0.8823,110848,0.8408,1001172,1.0
2026-05-17T16:07:23,80,0,0,,,333669,0.9206,635701,0.9672,364491,0.9269,130186,0.8524,167108,0.8705,214720,0.8886,251314,0.9,1323979,1.0
2026-05-17T16:07:24,80,0,0,,,1011921,1.0,473749,0.9459,441577,0.9408,339431,0.9218,225528,0.8922,135275,0.8552,89881,0.8256,592988,0.9622
2026-05-17T16:07:25,80,0,0,,,489770,0.9483,728710,0.9771,381557,0.9303,161883,0.8682,113085,0.8422,308165,0.9148,118134,0.8454,887544,0.9914
2026-05-17T16:07:26,51,0,0,,,231706,0.8942,104415,0.8365,186989,0.8786,90394,0.826,41159,0.7691,30696,0.7478,23147,0.7274,231163,0.894
2026-05-17T16:07:27,80,0,0,,,808377,0.9846,906504,0.9929,72962,0.8105,560757,0.9581,296541,0.912,231739,0.8942,124572,0.8492,600257,0.9631
2026-05-17T16:07:28,80,0,0,,,577883,0.9603,408941,0.9353,84117,0.8208,257041,0.9017,66888,0.8042,234076,0.8949,80611,0.8177,1072579,1.0
2026-05-17T16:07:29,80,0,0,,,356831,0.9254,1104922,1.0,48187,0.7805,73631,0.8112,228808,0.8932,189804,0.8797,118318,0.8455,486984,0.9479
2026-05-17T16:07:30,80,0,0,,,348557,0.9237,836030,0.987,475703,0.9462,229010,0.8933,116464,0.8444,265357,0.904,149885,0.8626,572647,0.9596
2026-05-17T16:07:31,80,0,0,,,560338,0.9581,510791,0.9514,365890,0.9272,261351,0.9029,115368,0.8437,331560,0.9201,165398,0.8698,646890,0.9685
2026-05-17T16:07:32,80,0,0,,,1803246,1.0,1451902,1.0,301002,0.9131,1567652,1.0,407756,0.9351,1850866,1.0,381131,0.9302,2115801,1.0
2026-05-17T16:07:33,80,0,0,,,545610,0.9561,446052,0.9416,8877,0.6581,111805,0.8414,105402,0.8371,294804,0.9116,105977,0.8375,634588,0.9671
2026-05-17T16:07:34,80,0,0,,,550137,0.9567,907053,0.9929,305557,0.9142,545169,0.9561,127220,0.8508,107492,0.8386,70591,0.8081,429126,0.9388
2026-05-17T16:07:35,80,0,0,,,867187,0.9897,879204,0.9907,320432,0.9176,163291,0.8688,108525,0.8393,324320,0.9185,83426,0.8202,1099344,1.0
2026-05-17T16:07:36,51,0,0,,,640174,0.9677,1417956,1.0,35487,0.7583,370031,0.928,180440,0.8761,389742,0.9318,93442,0.8284,687819,0.9729
2026-05-17T16:07:37,51,0,0,,,615023,0.9648,508270,0.951,22838,0.7264,326958,0.9191,167338,0.8706,164602,0.8694,140618,0.858,591875,0.962
2026-05-17T16:07:38,80,0,0,,,639671,0.9677,246489,0.8986,30214,0.7467,307723,0.9147,71567,0.8091,174394,0.8736,80768,0.8179,1264167,1.0
2026-05-17T16:07:39,80,0,0,,,1241851,1.0,691920,0.9733,177056,0.8747,265848,0.9041,127393,0.8509,554316,0.9573,140771,0.8581,915670,0.9936
2026-05-17T16:07:40,80,0,0,,,945778,0.996,97656,0.8316,403713,0.9343,421210,0.9374,158188,0.8665,285973,0.9094,125106,0.8495,346437,0.9233
2026-05-17T16:07:41,80,0,0,,,356300,0.9253,1074943,1.0,228536,0.8932,96147,0.8305,125316,0.8497,292361,0.911,98616,0.8323,702467,0.9744
2026-05-17T16:07:42,80,0,0,,,1892942,1.0,1060029,1.0,832298,0.9867,1551533,1.0,919805,0.9939,544915,0.9561,598238,0.9628,1796642,1.0
2026-05-17T16:07:43,80,0,0,,,1498759,1.0,422393,0.9376,137239,0.8562,463994,0.9444,134061,0.8546,530108,0.9541,140466,0.8579,440003,0.9406
2026-05-17T16:07:44,80,0,0,,,944409,0.9959,500024,0.9498,829947,0.9865,195036,0.8817,268241,0.9048,502179,0.9501,130217,0.8524,751004,0.9793
2026-05-17T16:07:45,80,0,0,,,115446,0.8437,97283,0.8313,59967,0.7963,196007,0.882,33044,0.7532,41210,0.7692,18086,0.7096,107328,0.8385
2026-05-17T16:07:46,80,0,0,,,444905,0.9414,1098122,1.0,149244,0.8623,226730,0.8926,212847,0.888,638386,0.9675,56669,0.7922,445657,0.9415
2026-05-17T16:07:47,80,0,0,,,105007,0.8369,180855,0.8762,19829,0.7162,34168,0.7556,57584,0.7934,53499,0.7881,31865,0.7506,235242,0.8953
2026-05-17T16:07:48,80,0,0,,,682622,0.9724,768729,0.981,121780,0.8476,201499,0.884,380071,0.93,202007,0.8842,126186,0.8502,440233,0.9406
2026-05-17T16:07:49,80,0,0,,,681872,0.9723,1550065,1.0,191950,0.8805,208581,0.8865,90499,0.8261,306029,0.9143,136962,0.8561,720459,0.9763
2026-05-17T16:07:50,80,0,0,,,1138876,1.0,300299,0.9129,117372,0.8449,159549,0.8671,199179,0.8832,127506,0.8509,134192,0.8546,401960,0.934
2026-05-17T16:07:51,80,0,0,,,724880,0.9767,183293,0.8772,162991,0.8687,79626,0.8168,140020,0.8577,216712,0.8893,161747,0.8681,828589,0.9864
2026-05-17T16:07:52,51,0,0,,,69641,0.8071,96918,0.8311,51817,0.7857,26613,0.7375,34243,0.7558,37079,0.7615,32104,0.7511,162332,0.8684
2026-05-17T16:07:53,80,0,0,,,459804,0.9438,219150,0.8901,226327,0.8925,431990,0.9392,132467,0.8537,464002,0.9444,48722,0.7813,923498,0.9942
2026-05-17T16:07:54,80,0,0,,,184479,0.8777,1249329,1.0,224723,0.8919,144149,0.8598,268121,0.9047,434356,0.9396,77579,0.815,890967,0.9916
2026-05-17T16:07:55,80,0,0,,,445857,0.9415,598608,0.9629,104098,0.8362,307209,0.9146,88911,0.8248,364264,0.9269,227300,0.8928,645070,0.9683
2026-05-17T16:07:56,80,0,0,,,810446,0.9848,441776,0.9409,420842,0.9374,357313,0.9255,22668,0.7259,280136,0.9079,178228,0.8752,783626,0.9824
2026-05-17T16:07:57,80,0,0,,,428166,0.9386,355102,0.9251,203484,0.8848,224587,0.8919,81923,0.8189,283474,0.9088,242623,0.8975,715581,0.9758
2026-05-17T16:07:58,80,0,0,,,977240,0.9983,755809,0.9797,86988,0.8232,226172,0.8924,108769,0.8394,163692,0.869,91919,0.8272,493453,0.9489
2026-05-17T16:07:59,80,0,0,,,394424,0.9327,1145311,1.0,136793,0.856,45656,0.7766,64288,0.8014,152558,0.8639,149561,0.8625,815355,0.9852
2026-05-17T16:08:00,80,0,0,,,56510,0.792,67930,0.8053,23906,0.7298,10811,0.6723,79855,0.8171,23170,0.7275,41703,0.77,330884,0.9199
2026-05-17T16:08:01,80,0,0,,,224924,0.892,113292,0.8424,85744,0.8222,42927,0.7721,68341,0.8058,89478,0.8253,50350,0.7837,134934,0.855
2026-05-17T16:08:02,80,0,0,,,1350199,1.0,570837,0.9594,35336,0.758,130376,0.8525,489209,0.9482,260421,0.9026,59790,0.7961,1046076,1.0
2026-05-17T16:08:03,80,0,0,,,194759,0.8816,655602,0.9694,158141,0.8665,602893,0.9634,195264,0.8818,211336,0.8875,148389,0.8619,536907,0.955
2026-05-17T16:08:04,80,0,0,,,948926,0.9962,1051940,1.0,289840,0.9104,189428,0.8796,132672,0.8538,179872,0.8758,118581,0.8457,1040577,1.0
2026-05-17T16:08:05,80,0,0,,,209430,0.8868,177672,0.8749,32226,0.7514,92209,0.8275,84553,0.8212,74194,0.8117,27955,0.7411,83505,0.8203
2026-05-17T16:08:06,80,0,0,,,125789,0.8499,52064,0.7861,42599,0.7716,46222,0.7775,35455,0.7583,28960,0.7436,24240,0.7308,176808,0.8746
2026-05-17T16:08:07,80,0,0,,,1492385,1.0,647152,0.9685,167153,0.8705,253814,0.9008,74944,0.8125,127152,0.8507,413183,0.936,612676,0.9645
2026-05-17T16:08:08,80,0,0,,,497819,0.9495,332123,0.9202,295956,0.9119,237424,0.8959,53340,0.7878,343666,0.9227,172184,0.8727,479946,0.9469
2026-05-17T16:08:09,80,0,0,,,970597,0.9978,202689,0.8845,228387,0.8931,366114,0.9273,79464,0.8167,291832,0.9109,154065,0.8646,731482,0.9774
2026-05-17T16:08:10,80,0,0,,,948025,0.9961,440418,0.9406,76793,0.8142,245850,0.8984,61566,0.7982,125755,0.8499,95552,0.83,830802,0.9866
2026-05-17T16:08:11,80,0,0,,,859621,0.9891,676839,0.9717,143283,0.8594,630654,0.9666,140185,0.8578,255176,0.9011,127830,0.8511,594796,0.9624
2026-05-17T16:08:12,80,0,0,,,261965,0.903,610039,0.9642,130167,0.8524,116033,0.8441,123452,0.8486,178205,0.8752,161018,0.8678,767384,0.9808
2026-05-17T16:08:13,80,0,0,,,1647076,1.0,1526932,1.0,739331,0.9781,684772,0.9726,741531,0.9784,833053,0.9868,500628,0.9499,1840927,1.0
2026-05-17T16:08:14,80,0,0,,,1167883,1.0,801921,0.984,83597,0.8204,108974,0.8396,163401,0.8689,240277,0.8968,119325,0.8461,977608,0.9984
2026-05-17T16:08:15,80,0,0,,,1276714,1.0,326006,0.9189,532723,0.9544,103306,0.8357,65398,0.8026,179340,0.8756,153151,0.8642,386773,0.9312
2026-05-17T16:08:16,80,0,0,,,312159,0.9157,1013967,1.0,88719,0.8247,303916,0.9138,128280,0.8514,148363,0.8619,38052,0.7634,918192,0.9938
2026-05-17T16:08:17,51,0,0,,,775529,0.9816,266970,0.9044,324476,0.9185,46875,0.7785,143968,0.8597,174160,0.8735,110918,0.8408,208173,0.8864
2026-05-17T16:08:18,80,0,0,,,2156592,1.0,1368147,1.0,1817066,1.0,375144,0.929,1216689,1.0,754532,0.9796,307225,0.9146,835676,0.987
2026-05-17T16:08:19,80,0,0,,,47066,0.7788,137061,0.8562,82116,0.8191,32171,0.7512,51619,0.7855,48399,0.7808,34738,0.7568,184365,0.8776
2026-05-17T16:08:20,80,0,0,,,403962,0.9344,1146118,1.0,161979,0.8682,70387,0.8079,307179,0.9146,213174,0.8881,235279,0.8953,1232466,1.0
2026-05-17T16:08:21,80,0,0,,,442248,0.9409,785452,0.9825,222276,0.8911,438084,0.9403,93970,0.8288,114571,0.8432,185624,0.8781,531704,0.9543
2026-05-17T16:08:22,80,0,0,,,537908,0.9551,402886,0.9342,400159,0.9337,65484,0.8027,254282,0.9009,600082,0.963,77644,0.815,341484,0.9222
2026-05-17T16:08:23,51,0,0,,,486393,0.9478,372716,0.9286,388405,0.9315,46397,0.7777,180484,0.8761,281533,0.9083,157657,0.8663,475754,0.9462
2026-05-17T16:08:24,80,0,0,,,839570,0.9873,263930,0.9036,386434,0.9312,106887,0.8382,274894,0.9065,153428,0.8643,107383,0.8385,555513,0.9574
2026-05-17T16:08:25,80,0,0,,,632860,0.9669,743873,0.9786,153682,0.8644,210057,0.8871,331103,0.92,552005,0.957,32813,0.7527,810031,0.9848
2026-05-17T16:08:26,80,0,0,,,931387,0.9949,407127,0.935,61210,0.7978,266345,0.9042,28648,0.7429,177460,0.8749,132039,0.8535,299538,0.9127
2026-05-17T16:08:27,80,0,0,,,709253,0.9751,484858,0.9476,422098,0.9376,344596,0.9229,16087,0.7011,81698,0.8187,106790,0.8381,109466,0.8399
2026-05-17T16:08:28,80,0,0,,,1757320,1.0,727943,0.977,119906,0.8465,591695,0.962,73894,0.8114,261552,0.9029,119380,0.8462,465671,0.9447
2026-05-17T16:08:29,80,0,0,,,63556,0.8005,71730,0.8093,62700,0.7995,188093,0.8791,43162,0.7725,25212,0.7336,31958,0.7508,46819,0.7784
2026-05-17T16:08:30,80,0,0,,,1293503,1.0,824370,0.986,196598,0.8823,232182,0.8943,133804,0.8544,156825,0.8659,181787,0.8766,964939,0.9974
2026-05-17T16:08:31,80,0,0,,,32939,0.753,107884,0.8388,104151,0.8363,53188,0.7876,42465,0.7713,30650,0.7477,37517,0.7624,46881,0.7785
2026-05-17T16:08:32,80,0,0,,,372580,0.9285,183431,0.8772,582948,0.9609,229311,0.8934,319346,0.9174,374128,0.9288,103984,0.8362,354204,0.9249
2026-05-17T16:08:33,80,0,0,,,2168742,1.0,272582,0.9059,120818,0.847,11215,0.675,94350,0.8291,239181,0.8965,80522,0.8177,517735,0.9524
2026-05-17T16:08:34,80,0,0,,,524916,0.9533,970370,0.9978,172102,0.8726,278724,0.9075,55638,0.7909,156328,0.8657,111162,0.841,821114,0.9857
2026-05-17T16:08:35,80,0,0,,,37179,0.7617,269792,0.9052,158130,0.8665,33170,0.7535,48863,0.7815,54299,0.7891,34714,0.7568,48608,0.7811
2026-05-17T16:08:36,80,0,0,,,666341,0.9706,1026412,1.0,65459,0.8027,273494,0.9062,102362,0.835,251661,0.9001,119199,0.846,913174,0.9934
2026-05-17T16:08:37,80,0,0,,,1032358,1.0,200743,0.8838,86952,0.8232,363807,0.9268,270275,0.9053,161906,0.8682,159447,0.8671,326833,0.9191
2026-05-17T16:08:38,80,0,0,,,139114,0.8572,140611,0.858,29570,0.7451,62103,0.7989,41881,0.7703,69723,0.8072,22341,0.7249,156792,0.8659
2026-05-17T16:08:39,80,0,0,,,580204,0.9606,719747,0.9762,193382,0.8811,308240,0.9148,297732,0.9123,289761,0.9103,69292,0.8068,281466,0.9082
2026-05-17T16:08:40,51,0,0,,,275341,0.9066,56210,0.7916,54213,0.789,6224,0.6324,94310,0.8291,87778,0.8239,23568,0.7287,94817,0.8295
2026-05-17T16:08:41,80,0,0,,,343268,0.9226,743398,0.9785,277608,0.9072,131981,0.8534,88491,0.8245,225775,0.8923,133212,0.8541,542194,0.9557
2026-05-17T16:08:42,80,0,0,,,629232,0.9665,546521,0.9563,150708,0.863,293898,0.9114,118951,0.8459,219201,0.8901,100817,0.8339,627534,0.9663
2026-05-17T16:08:43,80,0,0,,,126942,0.8506,252954,0.9005,77950,0.8153,22244,0.7245,24354,0.7311,20446,0.7184,19622,0.7155,154057,0.8646
2026-05-17T16:08:44,80,0,0,,,215383,0.8889,496870,0.9494,209133,0.8867,152445,0.8639,129141,0.8518,194281,0.8814,111229,0.841,552014,0.957
2026-05-17T16:08:45,51,0,0,,,705591,0.9748,1718733,1.0,172323,0.8727,248421,0.8992,49083,0.7818,357053,0.9255,88247,0.8243,485130,0.9476
2026-05-17T16:08:46,80,0,0,,,572048,0.9596,668204,0.9708,287774,0.9098,328133,0.9193,221583,0.8909,184282,0.8776,211282,0.8875,553545,0.9572
2026-05-17T16:08:47,80,0,0,,,119797,0.8464,95831,0.8303,3034,0.5804,16734,0.7039,46844,0.7784,36504,0.7604,11961,0.6796,126423,0.8503
2026-05-17T16:08:48,80,0,0,,,321707,0.9179,1051446,1.0,346952,0.9234,210104,0.8871,204604,0.8852,220531,0.8906,109399,0.8398,427887,0.9386
2026-05-17T16:08:49,80,0,0,,,109254,0.8397,304863,0.914,262410,0.9032,445777,0.9415,126509,0.8504,135338,0.8552,147589,0.8615,503585,0.9503
2026-05-17T16:08:50,51,0,0,,,780941,0.9821,319213,0.9173,264869,0.9038,161521,0.868,75905,0.8134,93354,0.8284,53962,0.7887,385115,0.9309
2026-05-17T16:08:51,80,0,0,,,1159516,1.0,596499,0.9626,137230,0.8562,452007,0.9425,101050,0.8341,136276,0.8557,114811,0.8433,451391,0.9424
2026-05-17T16:08:52,80,0,0,,,69220,0.8067,141437,0.8584,89044,0.8249,89141,0.825,39539,0.7662,16956,0.7049,12127,0.6806,92695,0.8278
2026-05-17T16:08:53,80,0,0,,,25847,0.7354,31303,0.7493,7126,0.6422,11467,0.6766,13821,0.6901,48342,0.7807,14315,0.6926,92334,0.8276
2026-05-17T16:08:54,80,0,0,,,784657,0.9824,296981,0.9121,236841,0.8957,129284,0.8519,99068,0.8327,119869,0.8465,75839,0.8133,294158,0.9114
2026-05-17T16:08:55,80,0,0,,,567427,0.959,33563,0.7543,39121,0.7654,19223,0.714,25268,0.7338,53233,0.7877,13983,0.6909,130197,0.8524
2026-05-17T16:08:56,80,0,0,,,189612,0.8796,83828,0.8206,79354,0.8166,7429,0.6452,48288,0.7806,54451,0.7893,79321,0.8166,40536,0.768
2026-05-17T16:08:57,80,0,0,,,87812,0.8239,142209,0.8588,16881,0.7046,24401,0.7312,12870,0.6849,19922,0.7166,26539,0.7373,236621,0.8957
2026-05-17T16:08:58,80,0,0,,,692998,0.9735,494523,0.949,419315,0.9371,160956,0.8678,83348,0.8202,137052,0.8561,98391,0.8322,286695,0.9096
2026-05-17T16:08:59,80,0,0,,,216113,0.8891,864990,0.9895,92528,0.8277,176143,0.8743,215457,0.8889,101733,0.8346,186481,0.8784,401918,0.934
2026-05-17T16:09:00,80,0,0,,,823694,0.986,275781,0.9068,266465,0.9043,162211,0.8683,203003,0.8846,215231,0.8888,113262,0.8423,303988,0.9138
2026-05-17T16:09:01,51,0,0,,,595959,0.9625,407544,0.935,525120,0.9534,82160,0.8191,53482,0.788,182424,0.8768,134852,0.855,346018,0.9232
2026-05-17T16:09:02,80,0,0,,,752757,0.9794,593403,0.9622,176856,0.8746,72989,0.8105,195182,0.8817,201122,0.8839,223973,0.8917,432445,0.9393
2026-05-17T16:09:03,80,0,0,,,350075,0.924,308056,0.9148,448800,0.942,227788,0.8929,106496,0.8379,169908,0.8717,100889,0.834,307923,0.9147
2026-05-17T16:09:04,80,0,0,,,87526,0.8237,79133,0.8164,158293,0.8666,86511,0.8228,20212,0.7176,69380,0.8069,22195,0.7244,160853,0.8677
2026-05-17T16:09:05,80,0,0,,,1946327,1.0,369634,0.928,307538,0.9147,94586,0.8293,162073,0.8683,312436,0.9158,92125,0.8274,437452,0.9402
2026-05-17T16:09:06,80,0,0,,,359766,0.926,302382,0.9134,129199,0.8519,158448,0.8666,237465,0.8959,205593,0.8855,120452,0.8468,574275,0.9599
2026-05-17T16:09:07,80,0,0,,,152778,0.864,184642,0.8777,10770,0.672,33186,0.7535,25436,0.7342,41790,0.7702,32111,0.7511,101400,0.8343
2026-05-17T16:09:08,80,0,0,,,1167527,1.0,314013,0.9162,79209,0.8165,142385,0.8589,91820,0.8272,575176,0.96,138481,0.8569,682814,0.9724
2026-05-17T16:09:09,80,0,0,,,53796,0.7885,58688,0.7948,17205,0.7059,54372,0.7892,51811,0.7857,36582,0.7605,36932,0.7612,87851,0.824
2026-05-17T16:09:10,80,0,0,,,1411623,1.0,401482,0.9339,340060,0.9219,145160,0.8603,180082,0.8759,295036,0.9116,99055,0.8326,337953,0.9215
2026-05-17T16:09:11,80,0,0,,,822970,0.9859,187924,0.879,86547,0.8229,31986,0.7508,86210,0.8226,127614,0.851,126890,0.8506,609458,0.9642
2026-05-17T16:09:12,80,0,0,,,683857,0.9725,450938,0.9424,440435,0.9406,129201,0.8519,209520,0.8869,226488,0.8925,72435,0.81,162239,0.8684
2026-05-17T16:09:13,80,0,0,,,2395337,1.0,2840213,1.0,1087198,1.0,990411,0.9993,1123093,1.0,833328,0.9868,437721,0.9402,1493495,1.0
2026-05-17T16:09:14,80,0,0,,,501291,0.95,614450,0.9647,154517,0.8648,184927,0.8778,152416,0.8638,74656,0.8122,144500,0.86,308110,0.9148
